,P,Q
0,-1.262391209602356,-0.0
1,-1.262391209602356,-0.27586206793785095
2,-1.262391209602356,-0.0
3,-1.262391209602356,-0.0
4,-1.262391209602356,-0.0
5,-1.262391209602356,-0.5517241358757019
6,-1.8935867547988892,-0.0
7,-1.262391209602356,-0.0
8,-0.631195604801178,-0.0
9,-1.262391209602356,-0.0
10,-1.262391209602356,-0.0
11,-1.262391209602356,-0.27586206793785095
12,-1.262391209602356,-0.0
13,-1.262391209602356,-0.0
14,-1.262391209602356,-0.0
15,-1.262391209602356,-0.0
16,-1.262391209602356,-0.27586206793785095
17,-0.631195604801178,-0.0
18,-1.262391209602356,-0.0
19,-1.262391209602356,-0.27586206793785095
20,-1.262391209602356,-0.27586206793785095
21,-0.631195604801178,-0.0
22,-0.631195604801178,-0.0
23,-1.262391209602356,-0.0
24,-1.262391209602356,-0.27586206793785095
25,-1.262391209602356,-0.27586206793785095
26,-0.631195604801178,-0.27586206793785095
27,-1.262391209602356,-0.27586206793785095
28,-1.262391209602356,-0.0
29,-0.631195604801178,-0.0
30,-0.631195604801178,-0.0
31,-0.631195604801178,-0.0
32,-1.262391209602356,-0.0
33,-0.631195604801178,-0.0
34,-1.262391209602356,-0.0
35,-0.631195604801178,-0.0
36,-0.631195604801178,-0.0
37,-0.631195604801178,-0.27586206793785095
38,-0.631195604801178,-0.0
39,-0.631195604801178,-0.0
40,-0.631195604801178,-0.27586206793785095
41,-0.631195604801178,-0.27586206793785095
42,-0.631195604801178,-0.27586206793785095
43,-1.262391209602356,-0.0
44,-1.262391209602356,-0.0
45,-0.631195604801178,-0.0
46,-0.631195604801178,-0.0
47,-0.631195604801178,-0.27586206793785095
48,-1.262391209602356,-0.27586206793785095
49,-0.631195604801178,-0.0
50,0.0,-0.27586206793785095
51,0.631195604801178,-0.0
52,0.631195604801178,-0.0
53,0.631195604801178,-0.27586206793785095
54,1.262391209602356,-0.27586206793785095
55,1.262391209602356,-0.0
56,1.262391209602356,-0.0
57,1.262391209602356,-0.0
58,1.262391209602356,-0.0
59,1.262391209602356,-0.0
60,1.262391209602356,-0.0
61,1.262391209602356,-0.27586206793785095
62,1.262391209602356,0.27586206793785095
63,1.262391209602356,-0.27586206793785095
64,0.631195604801178,-0.0
65,1.262391209602356,-0.0
66,0.631195604801178,0.27586206793785095
67,1.262391209602356,-0.27586206793785095
68,1.262391209602356,-0.0
69,0.631195604801178,-0.0
70,0.631195604801178,-0.0
71,0.631195604801178,-0.0
72,0.631195604801178,-0.27586206793785095
73,0.631195604801178,-0.0
74,0.631195604801178,-0.27586206793785095
75,0.631195604801178,-0.0
76,0.631195604801178,-0.0
77,0.631195604801178,-0.0
78,0.631195604801178,-0.27586206793785095
79,0.631195604801178,-0.0
80,0.631195604801178,-0.0
81,0.631195604801178,-0.0
82,0.631195604801178,-0.0
83,0.631195604801178,-0.0
84,0.631195604801178,-0.0
85,0.631195604801178,-0.0
86,0.631195604801178,0.27586206793785095
87,0.631195604801178,-0.27586206793785095
88,0.631195604801178,-0.0
89,0.631195604801178,-0.0
90,0.631195604801178,-0.0
91,0.631195604801178,-0.0
92,0.631195604801178,-0.0
93,0.631195604801178,-0.0
94,0.631195604801178,-0.0
95,0.631195604801178,-0.0
96,0.631195604801178,-0.0
97,0.631195604801178,-0.0
98,0.631195604801178,-0.0
99,0.631195604801178,-0.0
100,1.8935867547988892,0.27586206793785095
101,1.8935867547988892,0.27586206793785095
102,1.8935867547988892,-0.0
103,1.8935867547988892,0.27586206793785095
104,1.8935867547988892,0.27586206793785095
105,1.8935867547988892,0.27586206793785095
106,1.8935867547988892,-0.0
107,1.8935867547988892,0.27586206793785095
108,1.8935867547988892,0.27586206793785095
109,1.8935867547988892,-0.0
